ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Apuri-69_negation-1,,Apuri,69_negation,chu,chu,tʃ u,,shimelman2017,,,^ ch u $,Apuri
Apuri-70_nominalizerna-1,,Apuri,70_nominalizerna,na,na,n a,,shimelman2017,,,^ n a $,Apuri
Apuri-71_nonexhaustive-1,,Apuri,71_nonexhaustive,kuna,kuna,k u n a,,shimelman2017,,,^ k u n a $,Apuri
Apuri-72_partnership-1,,Apuri,72_partnership,masi,masi,m a s i,,shimelman2017,,,^ m a s i $,Apuri
Apuri-73_passiveaccidental-1,,Apuri,73_passiveaccidental,ka,ka,k a,,shimelman2017,,,^ k a $,Apuri
Apuri-74_pasttense-1,,Apuri,74_pasttense,rqa,rqa,ɾ q a,,shimelman2017,,,^ r q a $,Apuri
Apuri-75_perfect-1,,Apuri,75_perfect,"sha,sa",sha,ʃ a,,shimelman2017,,,^ sh a $,Apuri
Apuri-75_perfect-2,,Apuri,75_perfect,"sha,sa",sa,s a,,shimelman2017,,,^ s a $,Apuri
Apuri-76_perfectivizer-1,,Apuri,76_perfectivizer,"sha,sa",sha,ʃ a,nmlz,shimelman2017,,,^ sh a $,Apuri
Apuri-76_perfectivizer-2,,Apuri,76_perfectivizer,"sha,sa",sa,s a,nmlz,shimelman2017,,,^ s a $,Apuri
Apuri-77_plural-1,,Apuri,77_plural,kuna,kuna,k u n a,,shimelman2017,,,^ k u n a $,Apuri
Apuri-78_possessive-1,,Apuri,78_possessive,yuq,yuq,j o q,,shimelman2017,,,^ y uq $,Apuri
Apuri-79_prohibitive-1,,Apuri,79_prohibitive,ama,ama,a m a,,shimelman2017,,,^ a m a $,Apuri
Apuri-80_proximaldemonstrative-1,,Apuri,80_proximaldemonstrative,kay,kay,k a j,,shimelman2017,,,^ k a y $,Apuri
Apuri-81_purposive-1,,Apuri,81_purposive,paq,paq,p a q,,shimelman2017,,,^ p a q $,Apuri
Apuri-82_reason-1,,Apuri,82_reason,rayku,rayku,ɾ a j k u,,shimelman2017,,,^ r a y k u $,Apuri
Apuri-83_reciprocal-1,,Apuri,83_reciprocal,"naku,naka",naku,n a k u,,shimelman2017,,,^ n a k u $,Apuri
Apuri-83_reciprocal-2,,Apuri,83_reciprocal,"naku,naka",naka,n a k a,,shimelman2017,,,^ n a k a $,Apuri
Apuri-84_repetitive-1,,Apuri,84_repetitive,pa,pa,p a,,shimelman2017,,,^ p a $,Apuri
Apuri-85_reportativepasttense-1,,Apuri,85_reportativepasttense,shqa,shqa,ʃ q a,,shimelman2017,,,^ sh q a $,Apuri
Apuri-86_restrictive-1,,Apuri,86_restrictive,lla,lla,ʎ a,,shimelman2017,,,^ ll a $,Apuri
Apuri-87_sequential-1,,Apuri,87_sequential,taq,taq,t a q,,shimelman2017,,,^ t a q $,Apuri
Apuri-88_simulative-1,,Apuri,88_simulative,tuku,tuku,t u k u,,shimelman2017,,,^ t u k u $,Apuri
Apuri-89_subordinatoradverbial-1,,Apuri,89_subordinatoradverbial,shtin,shtin,ʃ t i n,,shimelman2017,,,^ sh t i n $,Apuri
Apuri-90_subordinatoridsub-1,,Apuri,90_subordinatoridsub,shpa,shpa,ʃ p a,,shimelman2017,,,^ sh p a $,Apuri
Apuri-91_suboridnatordiffsub-1,,Apuri,91_suboridnatordiffsub,pti,pti,p t i,,shimelman2017,,,^ p t i $,Apuri
Apuri-92_topic-1,,Apuri,92_topic,qa,qa,q a,,shimelman2017,,,^ q a $,Apuri
Apuri-93_translocative-1,,Apuri,93_translocative,"pu,pa",pu,p u,,shimelman2017,,,^ p u $,Apuri
Apuri-93_translocative-2,,Apuri,93_translocative,"pu,pa",pa,p a,,shimelman2017,,,^ p a $,Apuri
Apuri-94_uninterruptedaction-1,,Apuri,94_uninterruptedaction,ra,ra,ɾ a,,shimelman2017,,,^ r a $,Apuri
Apuri-95_urgent-1,,Apuri,95_urgent,"ru,ra",ru,ɾ u,,shimelman2017,,,^ r u $,Apuri
Apuri-95_urgent-2,,Apuri,95_urgent,"ru,ra",ra,ɾ a,,shimelman2017,,,^ r a $,Apuri
Apuri-96_verbalizer-1,,Apuri,96_verbalizer,na,na,n a,some reciprocal action,shimelman2017,,,^ n a $,Apuri
Apurimac-1_1object-1,,Apurimac,1_1object,wa,wa,w a,,camacho2006,,,^ w a $,Apurimac
Apurimac-2_1subject2object-1,,Apurimac,2_1subject2object,yki ,yki,j k i,,camacho2006,,,^ y k i $,Apurimac
Apurimac-97_1plexclusive-1,,Apurimac,97_1plexclusive,saqku,saqku,s a q k u,,camacho2006,,,^ s a q k u $,Apurimac
Apurimac-3_1plpossessor-1,,Apurimac,3_1plpossessor,"nchik,nchis",nchik,n tʃ i k,,camacho2006,,,^ n ch i k $,Apurimac
Apurimac-3_1plpossessor-2,,Apurimac,3_1plpossessor,"nchik,nchis",nchis,n tʃ i s,,camacho2006,,,^ n ch i s $,Apurimac
Apurimac-98_1plpossessorexclusive-1,,Apurimac,98_1plpossessorexclusive,iku ,iku,i k u,,camacho2006,,,^ i k u $,Apurimac
Apurimac-99_1plsubject2sobject-1,,Apurimac,99_1plsubject2sobject,"sqaykiku, ykiku",sqaykiku,s q a j k i k u,,camacho2006,,,^ s q a y k i k u $,Apurimac
Apurimac-99_1plsubject2sobject-2,,Apurimac,99_1plsubject2sobject,"sqaykiku, ykiku",ykiku,j k i k u,,camacho2006,,,^ y k i k u $,Apurimac
Apurimac-4_1plverbal-1,,Apurimac,4_1plverbal,sunchis,sunchis,s u n tʃ i s,,camacho2006,,,^ s u n ch i s $,Apurimac
Apurimac-100_1plverbalexclusive-1,,Apurimac,100_1plverbalexclusive,"niku, saqku ",niku,n i k u,,camacho2006,,,^ n i k u $,Apurimac
Apurimac-100_1plverbalexclusive-2,,Apurimac,100_1plverbalexclusive,"niku, saqku ",saqku,s a q k u,,camacho2006,,,^ s a q k u $,Apurimac
Apurimac-6_1plverbalfuture-1,,Apurimac,6_1plverbalfuture,sunchis,sunchis,s u n tʃ i s,,parker1976,,,^ s u n ch i s $,Apurimac
Apurimac-7_1spossessor-1,,Apurimac,7_1spossessor,tanta-y,tanta-y,t a n t a + j,,camacho2006,,,^ t a n t a - y $,Apurimac
Apurimac-101_1ssubject2plobject-1,,Apurimac,101_1ssubject2plobject,sqayki ,sqayki,s q a j k i,,camacho2006,,,^ s q a y k i $,Apurimac
Apurimac-9_1sverbal-1,,Apurimac,9_1sverbal,ka-ni,ka-ni,k a + n i,,camacho2006,,,^ k a - n i $,Apurimac
Apurimac-10_1sverbalfuture-1,,Apurimac,10_1sverbalfuture,saq,saq,s a q,,camacho2006,,,^ s a q $,Apurimac
